k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,86.0,526.0,11.0,14.0, 200, 161
10,84.0,523.0,6.0,7.0, 232, 161
26,106.0,548.0,12.0,15.0, 199, 161
12,78.0,523.0,7.0,8.0, 229, 161
20,92.0,528.0,9.0,11.0, 208, 161
14,75.0,524.0,7.0,9.0, 220, 161
22,90.0,526.0,10.0,13.0, 205, 161
16,89.0,534.0,8.0,11.0, 217, 161
46,122.0,524.0,18.0,23.0, 195, 161
18,78.0,537.0,9.0,12.0, 217, 161
44,107.0,525.0,18.0,23.0, 196, 161
30,93.0,528.0,14.0,16.0, 199, 161
28,99.0,536.0,12.0,16.0, 200, 161
36,102.0,522.0,15.0,19.0, 196, 161
40,104.0,522.0,16.0,20.0, 196, 161
34,100.0,525.0,14.0,18.0, 196, 161
38,113.0,523.0,16.0,20.0, 196, 161
6,59.0,526.0,5.0,5.0, 288, 161
8,63.0,525.0,5.0,6.0, 247, 161
32,100.0,525.0,12.0,17.0, 199, 161
42,108.0,524.0,17.0,21.0, 196, 161
