k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 173.00, 3.00,162, 12.00, 9384.00, 77, 3.00, 7.00, 3.00, 3.00, 77, 106, 37, 37, 21,
10, 173.00, 1.00,74, 3.00, 9348.00, 77, 1.00, 3.00, 0.00, 3.00, 77, 106, 43, 43, 21,
26, 176.00, 2.00,174, 13.00, 9356.00, 77, 3.00, 6.00, 3.00, 3.00, 77, 106, 37, 37, 21,
12, 174.00, 1.00,87, 5.00, 9450.00, 77, 1.00, 4.00, 2.00, 2.00, 77, 106, 41, 41, 21,
20, 174.00, 2.00,137, 9.00, 9374.00, 77, 3.00, 5.00, 2.00, 3.00, 77, 106, 37, 37, 21,
14, 174.00, 1.00,99, 6.00, 9381.00, 77, 2.00, 4.00, 1.00, 3.00, 77, 106, 40, 40, 21,
22, 174.00, 2.00,151, 10.00, 9366.00, 77, 3.00, 5.00, 3.00, 3.00, 77, 106, 37, 37, 21,
16, 173.00, 1.00,112, 6.00, 9348.00, 77, 2.00, 4.00, 2.00, 3.00, 77, 106, 41, 41, 21,
46, 178.00, 3.00,304, 31.00, 9596.00, 77, 7.00, 9.00, 5.00, 3.00, 77, 106, 36, 36, 21,
18, 176.00, 2.00,124, 8.00, 9346.00, 77, 2.00, 5.00, 2.00, 3.00, 77, 106, 39, 39, 21,
44, 179.00, 3.00,307, 24.00, 9581.00, 77, 7.00, 8.00, 5.00, 4.00, 77, 106, 37, 37, 21,
30, 188.00, 7.00,199, 15.00, 9332.00, 77, 4.00, 6.00, 3.00, 4.00, 77, 106, 36, 36, 21,
28, 174.00, 3.00,186, 14.00, 9344.00, 77, 4.00, 6.00, 3.00, 3.00, 77, 106, 36, 36, 21,
36, 173.00, 2.00,233, 18.00, 9381.00, 77, 5.00, 7.00, 4.00, 4.00, 77, 106, 37, 37, 21,
40, 177.00, 2.00,259, 22.00, 9705.00, 77, 6.00, 8.00, 4.00, 4.00, 77, 106, 37, 37, 21,
34, 173.00, 3.00,225, 18.00, 9366.00, 77, 5.00, 8.00, 3.00, 4.00, 77, 106, 37, 37, 21,
38, 175.00, 2.00,251, 21.00, 9580.00, 77, 5.00, 8.00, 4.00, 4.00, 77, 106, 37, 37, 21,
6, 173.00, 0.00,49, 2.00, 9382.00, 77, 0.00, 3.00, 1.00, 2.00, 77, 106, 76, 76, 21,
8, 173.00, 2.00,62, 3.00, 9360.00, 77, 1.00, 3.00, 1.00, 3.00, 77, 106, 50, 50, 21,
32, 176.00, 2.00,212, 17.00, 9349.00, 77, 5.00, 7.00, 3.00, 4.00, 77, 106, 37, 37, 21,
42, 175.00, 3.00,279, 23.00, 9585.00, 77, 6.00, 8.00, 5.00, 4.00, 77, 106, 38, 37, 21,
