k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 88.00, 6.00,32, 11.00, 1030.00, 93, 5.00, 6.00, 5.00, 7.00, 93, 220, 183, 183, 170,
10, 97.00, 4.00,15, 3.00, 1030.00, 93, 2.00, 6.00, 2.00, 6.00, 93, 220, 190, 190, 170,
26, 100.00, 5.00,35, 12.00, 1020.00, 93, 5.00, 7.00, 6.00, 7.00, 93, 220, 184, 184, 169,
12, 99.00, 5.00,18, 4.00, 1019.00, 93, 1.00, 7.00, 3.00, 6.00, 93, 220, 189, 189, 170,
20, 89.00, 5.00,27, 9.00, 1029.00, 93, 3.00, 6.00, 4.00, 7.00, 93, 220, 184, 184, 169,
14, 88.00, 6.00,20, 6.00, 1015.00, 93, 2.00, 6.00, 2.00, 6.00, 93, 220, 187, 187, 170,
22, 93.00, 6.00,32, 11.00, 1027.00, 93, 3.00, 7.00, 4.00, 8.00, 93, 220, 183, 183, 169,
16, 90.00, 5.00,23, 6.00, 1026.00, 93, 3.00, 6.00, 3.00, 6.00, 93, 220, 185, 185, 170,
46, 90.00, 9.00,59, 26.00, 1013.00, 93, 10.00, 7.00, 10.00, 8.00, 93, 220, 175, 175, 169,
18, 90.00, 6.00,25, 8.00, 1020.00, 93, 3.00, 7.00, 4.00, 6.00, 93, 220, 184, 184, 169,
44, 95.00, 9.00,56, 24.00, 1010.00, 93, 9.00, 7.00, 9.00, 8.00, 93, 220, 177, 177, 169,
30, 101.00, 6.00,40, 15.00, 1025.00, 93, 6.00, 6.00, 7.00, 7.00, 93, 220, 177, 177, 168,
28, 89.00, 7.00,38, 13.00, 1021.00, 93, 5.00, 7.00, 6.00, 7.00, 93, 220, 179, 179, 169,
36, 93.00, 8.00,45, 18.00, 1023.00, 93, 7.00, 7.00, 8.00, 7.00, 93, 220, 180, 180, 170,
40, 92.00, 8.00,50, 20.00, 1020.00, 93, 7.00, 7.00, 8.00, 8.00, 93, 220, 177, 177, 169,
34, 96.00, 8.00,44, 18.00, 1025.00, 93, 7.00, 7.00, 7.00, 7.00, 93, 220, 180, 180, 170,
38, 88.00, 8.00,49, 21.00, 1035.00, 93, 7.00, 7.00, 8.00, 8.00, 93, 220, 177, 177, 169,
6, 107.00, 0.00,10, 2.00, 1024.00, 93, 0.00, 6.00, 1.00, 6.00, 93, 220, 216, 216, 170,
8, 104.00, 4.00,13, 2.00, 1016.00, 93, 1.00, 6.00, 2.00, 6.00, 93, 220, 204, 204, 170,
32, 87.00, 7.00,41, 16.00, 1022.00, 93, 6.00, 6.00, 7.00, 7.00, 93, 220, 180, 180, 170,
42, 97.00, 7.00,53, 23.00, 1024.00, 93, 9.00, 7.00, 9.00, 8.00, 93, 220, 177, 177, 169,
