k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,84.0,525.0,11.0,13.0, 200, 161
10,69.0,522.0,6.0,7.0, 232, 161
26,94.0,519.0,12.0,14.0, 199, 161
12,91.0,525.0,6.0,8.0, 229, 161
20,89.0,524.0,9.0,12.0, 208, 161
14,80.0,523.0,7.0,9.0, 220, 161
22,96.0,522.0,10.0,12.0, 205, 161
16,78.0,523.0,7.0,10.0, 217, 161
46,118.0,521.0,18.0,24.0, 195, 161
18,80.0,522.0,9.0,11.0, 217, 161
44,111.0,524.0,18.0,22.0, 196, 161
30,94.0,520.0,13.0,15.0, 199, 161
28,92.0,524.0,12.0,15.0, 200, 161
36,102.0,525.0,14.0,18.0, 196, 161
40,116.0,525.0,16.0,20.0, 196, 161
34,105.0,522.0,14.0,19.0, 196, 161
38,104.0,521.0,16.0,20.0, 196, 161
6,63.0,527.0,4.0,6.0, 288, 161
8,73.0,524.0,5.0,6.0, 247, 161
32,104.0,523.0,13.0,17.0, 199, 161
42,107.0,524.0,17.0,21.0, 196, 161
