k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 189.00, 3.00,167, 12.00, 9879.00, 77, 4.00, 7.00, 3.00, 3.00, 77, 106, 37, 37, 21,
10, 173.00, 1.00,73, 3.00, 9452.00, 77, 0.00, 4.00, 1.00, 3.00, 77, 106, 43, 43, 21,
26, 192.00, 3.00,198, 15.00, 9864.00, 77, 3.00, 6.00, 3.00, 4.00, 77, 106, 37, 37, 21,
12, 199.00, 1.00,103, 5.00, 9376.00, 77, 1.00, 4.00, 1.00, 3.00, 77, 106, 41, 41, 21,
20, 182.00, 2.00,137, 9.00, 9378.00, 77, 2.00, 5.00, 2.00, 3.00, 77, 106, 37, 37, 21,
14, 175.00, 2.00,99, 6.00, 9528.00, 77, 1.00, 4.00, 1.00, 3.00, 77, 106, 40, 40, 21,
22, 181.00, 2.00,151, 10.00, 9985.00, 77, 3.00, 5.00, 2.00, 3.00, 77, 106, 37, 37, 21,
16, 173.00, 2.00,111, 6.00, 9283.00, 77, 2.00, 4.00, 1.00, 3.00, 77, 106, 41, 41, 21,
46, 175.00, 4.00,305, 27.00, 9606.00, 77, 7.00, 10.00, 5.00, 4.00, 77, 106, 36, 36, 21,
18, 173.00, 2.00,126, 8.00, 9446.00, 77, 2.00, 4.00, 1.00, 4.00, 77, 106, 39, 39, 21,
44, 176.00, 4.00,291, 25.00, 9625.00, 77, 7.00, 9.00, 6.00, 4.00, 77, 106, 37, 37, 21,
30, 198.00, 3.00,225, 15.00, 9909.00, 77, 5.00, 8.00, 4.00, 3.00, 77, 106, 36, 36, 21,
28, 183.00, 3.00,197, 14.00, 10025.00, 77, 5.00, 6.00, 4.00, 3.00, 77, 106, 36, 36, 21,
36, 182.00, 2.00,235, 18.00, 9732.00, 77, 5.00, 8.00, 4.00, 4.00, 77, 106, 37, 37, 21,
40, 178.00, 3.00,260, 21.00, 9613.00, 77, 7.00, 8.00, 5.00, 4.00, 77, 106, 37, 37, 21,
34, 182.00, 3.00,233, 20.00, 10145.00, 77, 6.00, 7.00, 4.00, 4.00, 77, 106, 37, 37, 21,
38, 174.00, 3.00,252, 20.00, 9614.00, 77, 6.00, 7.00, 4.00, 4.00, 77, 106, 37, 37, 21,
6, 176.00, 0.00,49, 2.00, 9325.00, 77, 0.00, 3.00, 1.00, 2.00, 77, 106, 76, 76, 21,
8, 177.00, 1.00,62, 3.00, 9587.00, 77, 1.00, 3.00, 1.00, 2.00, 77, 106, 50, 50, 21,
32, 192.00, 3.00,221, 15.00, 9965.00, 77, 5.00, 7.00, 3.00, 3.00, 77, 106, 37, 37, 21,
42, 178.00, 3.00,282, 23.00, 9599.00, 77, 7.00, 7.00, 5.00, 4.00, 77, 106, 38, 37, 21,
