k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,242.0,6479.0,10.0,8.0, 81, 62
10,180.0,6498.0,6.0,5.0, 92, 62
26,253.0,6534.0,12.0,9.0, 77, 62
12,188.0,6499.0,7.0,6.0, 87, 62
20,226.0,6484.0,10.0,7.0, 80, 62
14,207.0,6575.0,7.0,6.0, 85, 62
22,235.0,6493.0,10.0,7.0, 81, 62
16,209.0,6506.0,8.0,7.0, 84, 62
46,349.0,6689.0,19.0,13.0, 75, 62
18,214.0,6490.0,9.0,7.0, 80, 62
44,348.0,6779.0,20.0,13.0, 75, 62
30,273.0,6500.0,13.0,10.0, 75, 62
28,262.0,6515.0,13.0,9.0, 77, 62
36,295.0,6473.0,15.0,10.0, 77, 62
40,308.0,6469.0,17.0,12.0, 76, 62
34,285.0,6587.0,15.0,11.0, 77, 62
38,306.0,6549.0,15.0,11.0, 77, 62
6,163.0,6458.0,4.0,4.0, 114, 62
8,170.0,6504.0,5.0,4.0, 94, 62
32,278.0,6521.0,14.0,11.0, 78, 62
42,321.0,6603.0,17.0,13.0, 75, 62
