k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 58.00, 7.00,10, 11.00, 524.00, 97, 4.00, 7.00, 7.00, 6.00, 97, 335, 200, 200, 161,
10, 60.00, 4.00,6, 3.00, 523.00, 97, 1.00, 5.00, 3.00, 4.00, 97, 335, 232, 232, 161,
26, 64.00, 6.00,11, 12.00, 520.00, 97, 5.00, 7.00, 8.00, 6.00, 97, 335, 199, 199, 161,
12, 57.00, 6.00,5, 5.00, 525.00, 97, 1.00, 5.00, 4.00, 4.00, 97, 335, 229, 229, 161,
20, 67.00, 9.00,8, 9.00, 527.00, 97, 3.00, 6.00, 6.00, 5.00, 97, 335, 208, 208, 161,
14, 73.00, 6.00,7, 5.00, 523.00, 97, 1.00, 6.00, 4.00, 5.00, 97, 335, 220, 220, 161,
22, 63.00, 9.00,10, 10.00, 524.00, 97, 4.00, 6.00, 7.00, 5.00, 97, 335, 205, 205, 161,
16, 64.00, 7.00,7, 6.00, 523.00, 97, 2.00, 6.00, 5.00, 5.00, 97, 335, 217, 217, 161,
46, 55.00, 11.00,18, 26.00, 524.00, 97, 9.00, 9.00, 15.00, 8.00, 97, 335, 195, 195, 161,
18, 56.00, 6.00,8, 7.00, 522.00, 97, 3.00, 6.00, 6.00, 5.00, 97, 335, 217, 217, 161,
44, 60.00, 9.00,18, 25.00, 522.00, 97, 9.00, 9.00, 15.00, 8.00, 97, 335, 196, 196, 161,
30, 75.00, 8.00,12, 14.00, 524.00, 97, 5.00, 8.00, 10.00, 6.00, 97, 335, 199, 199, 161,
28, 54.00, 11.00,12, 13.00, 523.00, 97, 5.00, 7.00, 9.00, 6.00, 97, 335, 200, 200, 161,
36, 55.00, 10.00,15, 18.00, 525.00, 97, 6.00, 7.00, 11.00, 7.00, 97, 335, 196, 196, 161,
40, 65.00, 11.00,16, 21.00, 525.00, 97, 7.00, 9.00, 13.00, 7.00, 97, 335, 196, 196, 161,
34, 71.00, 7.00,14, 17.00, 523.00, 97, 7.00, 7.00, 12.00, 6.00, 97, 335, 196, 196, 161,
38, 60.00, 12.00,15, 20.00, 522.00, 97, 8.00, 9.00, 12.00, 7.00, 97, 335, 196, 196, 161,
6, 55.00, 0.00,3, 1.00, 522.00, 97, 0.00, 4.00, 1.00, 5.00, 97, 335, 288, 288, 161,
8, 75.00, 4.00,4, 3.00, 521.00, 97, 1.00, 5.00, 2.00, 4.00, 97, 335, 247, 247, 161,
32, 72.00, 10.00,13, 15.00, 524.00, 97, 6.00, 7.00, 10.00, 7.00, 97, 335, 199, 199, 161,
42, 57.00, 10.00,17, 23.00, 522.00, 97, 9.00, 8.00, 14.00, 7.00, 97, 335, 196, 196, 161,
