k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,330.0,12153.0,4.0,2.0, 28, 16
10,236.0,12173.0,2.0,1.0, 32, 16
26,359.0,12176.0,4.0,3.0, 26, 16
12,251.0,12208.0,3.0,1.0, 29, 16
20,319.0,12260.0,3.0,2.0, 28, 16
14,264.0,12174.0,2.0,2.0, 31, 16
22,322.0,12187.0,4.0,2.0, 28, 16
16,277.0,12181.0,3.0,2.0, 29, 16
46,478.0,12141.0,7.0,3.0, 24, 16
18,292.0,12205.0,3.0,2.0, 24, 16
44,465.0,12171.0,7.0,4.0, 24, 16
30,370.0,12192.0,5.0,2.0, 24, 16
28,363.0,12180.0,5.0,3.0, 24, 16
36,406.0,12181.0,6.0,3.0, 25, 16
40,431.0,12179.0,7.0,3.0, 24, 16
34,399.0,12195.0,5.0,3.0, 25, 16
38,424.0,12182.0,6.0,3.0, 24, 16
6,222.0,12104.0,2.0,1.0, 41, 16
8,231.0,12136.0,1.0,2.0, 33, 16
32,382.0,12171.0,5.0,4.0, 24, 16
42,446.0,12219.0,7.0,4.0, 23, 16
