k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 89.00, 5.00,32, 12.00, 1031.00, 93, 5.00, 6.00, 5.00, 7.00, 93, 220, 183, 183, 170,
10, 88.00, 4.00,15, 4.00, 1023.00, 93, 1.00, 6.00, 2.00, 7.00, 93, 220, 190, 190, 170,
26, 95.00, 5.00,35, 12.00, 1033.00, 93, 4.00, 7.00, 6.00, 7.00, 93, 220, 184, 184, 169,
12, 88.00, 5.00,18, 4.00, 1027.00, 93, 1.00, 6.00, 2.00, 7.00, 93, 220, 189, 189, 170,
20, 95.00, 6.00,27, 9.00, 1027.00, 93, 3.00, 7.00, 5.00, 6.00, 93, 220, 184, 184, 169,
14, 87.00, 5.00,20, 6.00, 1051.00, 93, 2.00, 6.00, 3.00, 6.00, 93, 220, 187, 187, 170,
22, 100.00, 6.00,30, 10.00, 1019.00, 93, 4.00, 7.00, 5.00, 7.00, 93, 220, 183, 183, 169,
16, 92.00, 6.00,23, 6.00, 1024.00, 93, 2.00, 6.00, 3.00, 6.00, 93, 220, 185, 185, 170,
46, 87.00, 9.00,58, 27.00, 1021.00, 93, 9.00, 7.00, 10.00, 8.00, 93, 220, 175, 175, 169,
18, 88.00, 6.00,25, 7.00, 1027.00, 93, 3.00, 6.00, 3.00, 7.00, 93, 220, 184, 184, 169,
44, 87.00, 10.00,56, 25.00, 1021.00, 93, 9.00, 7.00, 10.00, 8.00, 93, 220, 177, 177, 169,
30, 87.00, 7.00,40, 15.00, 1038.00, 93, 5.00, 8.00, 7.00, 7.00, 93, 220, 177, 177, 168,
28, 95.00, 6.00,37, 14.00, 1027.00, 93, 5.00, 8.00, 6.00, 7.00, 93, 220, 179, 179, 169,
36, 92.00, 7.00,45, 18.00, 1015.00, 93, 6.00, 7.00, 7.00, 8.00, 93, 220, 180, 180, 170,
40, 88.00, 8.00,51, 20.00, 1019.00, 93, 8.00, 7.00, 9.00, 8.00, 93, 220, 177, 177, 169,
34, 86.00, 7.00,44, 17.00, 1021.00, 93, 7.00, 6.00, 7.00, 8.00, 93, 220, 180, 180, 170,
38, 108.00, 7.00,49, 21.00, 1014.00, 93, 8.00, 7.00, 9.00, 7.00, 93, 220, 177, 177, 169,
6, 88.00, 0.00,10, 2.00, 1023.00, 93, 1.00, 5.00, 1.00, 6.00, 93, 220, 216, 216, 170,
8, 103.00, 4.00,13, 2.00, 1025.00, 93, 0.00, 6.00, 1.00, 7.00, 93, 220, 204, 204, 170,
32, 91.00, 8.00,43, 16.00, 1017.00, 93, 5.00, 7.00, 7.00, 7.00, 93, 220, 180, 180, 170,
42, 88.00, 7.00,55, 22.00, 1022.00, 93, 8.00, 7.00, 9.00, 8.00, 93, 220, 177, 177, 169,
