k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 57.00, 7.00,11, 11.00, 526.00, 97, 4.00, 7.00, 9.00, 5.00, 97, 335, 200, 200, 161,
10, 71.00, 5.00,5, 3.00, 523.00, 97, 1.00, 5.00, 3.00, 4.00, 97, 335, 232, 232, 161,
26, 77.00, 6.00,11, 12.00, 548.00, 97, 5.00, 7.00, 9.00, 6.00, 97, 335, 199, 199, 161,
12, 61.00, 6.00,6, 5.00, 523.00, 97, 2.00, 5.00, 3.00, 5.00, 97, 335, 229, 229, 161,
20, 67.00, 8.00,9, 8.00, 528.00, 97, 3.00, 6.00, 6.00, 5.00, 97, 335, 208, 208, 161,
14, 55.00, 7.00,7, 6.00, 524.00, 97, 2.00, 5.00, 4.00, 5.00, 97, 335, 220, 220, 161,
22, 61.00, 9.00,10, 10.00, 526.00, 97, 3.00, 7.00, 8.00, 5.00, 97, 335, 205, 205, 161,
16, 68.00, 7.00,7, 7.00, 534.00, 97, 2.00, 6.00, 6.00, 5.00, 97, 335, 217, 217, 161,
46, 67.00, 11.00,18, 26.00, 524.00, 97, 9.00, 9.00, 15.00, 8.00, 97, 335, 195, 195, 161,
18, 56.00, 6.00,8, 8.00, 537.00, 97, 3.00, 6.00, 6.00, 6.00, 97, 335, 217, 217, 161,
44, 56.00, 9.00,18, 24.00, 525.00, 97, 9.00, 9.00, 15.00, 8.00, 97, 335, 196, 196, 161,
30, 58.00, 8.00,12, 15.00, 528.00, 97, 6.00, 8.00, 9.00, 7.00, 97, 335, 199, 199, 161,
28, 63.00, 11.00,12, 13.00, 536.00, 97, 5.00, 7.00, 10.00, 6.00, 97, 335, 200, 200, 161,
36, 59.00, 10.00,15, 18.00, 522.00, 97, 7.00, 8.00, 12.00, 7.00, 97, 335, 196, 196, 161,
40, 56.00, 12.00,16, 20.00, 522.00, 97, 7.00, 9.00, 13.00, 7.00, 97, 335, 196, 196, 161,
34, 61.00, 8.00,14, 17.00, 525.00, 97, 6.00, 8.00, 12.00, 6.00, 97, 335, 196, 196, 161,
38, 66.00, 11.00,16, 20.00, 523.00, 97, 7.00, 9.00, 13.00, 7.00, 97, 335, 196, 196, 161,
6, 55.00, 0.00,3, 1.00, 526.00, 97, 1.00, 4.00, 1.00, 4.00, 97, 335, 288, 288, 161,
8, 54.00, 3.00,4, 2.00, 525.00, 97, 0.00, 5.00, 2.00, 4.00, 97, 335, 247, 247, 161,
32, 61.00, 10.00,13, 16.00, 525.00, 97, 5.00, 7.00, 11.00, 6.00, 97, 335, 199, 199, 161,
42, 59.00, 10.00,17, 22.00, 524.00, 97, 9.00, 8.00, 13.00, 8.00, 97, 335, 196, 196, 161,
