k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,83.0,523.0,11.0,13.0, 200, 161
10,77.0,522.0,6.0,7.0, 232, 161
26,97.0,524.0,12.0,14.0, 199, 161
12,71.0,524.0,6.0,8.0, 229, 161
20,88.0,521.0,9.0,12.0, 208, 161
14,80.0,522.0,7.0,9.0, 220, 161
22,107.0,521.0,10.0,13.0, 205, 161
16,84.0,525.0,8.0,10.0, 217, 161
46,109.0,525.0,18.0,23.0, 195, 161
18,78.0,525.0,9.0,11.0, 217, 161
44,108.0,520.0,18.0,22.0, 196, 161
30,92.0,523.0,14.0,16.0, 199, 161
28,96.0,523.0,12.0,15.0, 200, 161
36,100.0,525.0,14.0,18.0, 196, 161
40,115.0,525.0,17.0,20.0, 196, 161
34,94.0,522.0,14.0,17.0, 196, 161
38,119.0,523.0,16.0,20.0, 196, 161
6,60.0,524.0,4.0,6.0, 288, 161
8,73.0,520.0,5.0,7.0, 247, 161
32,105.0,522.0,13.0,17.0, 199, 161
42,105.0,522.0,17.0,21.0, 196, 161
