moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,52.40,2255.00,3.00,0.00,0.00,,10.00,52.40,2239.00,0.20,0.00,0.00
600.00,51.80,2290.40,147.40,32.00,13.00,,600.00,52.60,2236.60,37.00,31.00,13.00
900.00,51.80,2262.60,181.40,42.00,20.00,,900.00,52.20,2241.80,62.20,39.00,20.00
200.00,52.60,2243.80,34.80,10.00,6.00,,200.00,52.60,2244.00,7.40,10.00,6.00
700.00,53.60,2243.20,141.60,23.00,15.00,,700.00,52.00,2231.60,22.00,22.00,15.00
50.00,52.20,2246.00,4.80,0.00,0.00,,50.00,51.80,2238.60,0.00,0.00,0.00
300.00,51.60,2237.20,56.20,11.00,6.00,,300.00,52.00,2238.80,9.40,11.00,6.00
400.00,51.60,2252.60,71.80,15.00,5.00,,400.00,52.40,2280.40,13.20,15.00,5.00
500.00,52.00,2252.00,88.60,18.00,10.00,,500.00,52.40,2241.60,9.40,18.00,10.00
800.00,51.80,2266.00,97.40,17.00,10.00,,800.00,53.00,2246.00,13.20,17.00,10.00
100.00,52.40,2240.20,22.40,9.00,3.00,,100.00,52.20,2285.00,8.20,9.00,3.00
1000.00,52.20,2247.00,191.00,43.00,20.00,,1000.00,51.60,2243.80,35.60,43.00,20.00
