n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 18.00, 1.00,30, 3.00, 2279.00, 3.00, 0, 0,
 600, 18.00, 0.00,31, 3.00, 2223.00, 143.00, 32, 13,
 900, 18.00, 1.00,30, 3.00, 2226.00, 182.00, 42, 20,
 200, 19.00, 0.00,31, 3.00, 2264.00, 35.00, 10, 6,
 700, 18.00, 0.00,31, 3.00, 2287.00, 150.00, 23, 15,
 50, 19.00, 0.00,31, 3.00, 2261.00, 5.00, 0, 0,
 300, 18.00, 0.00,31, 3.00, 2223.00, 57.00, 11, 6,
 400, 18.00, 0.00,31, 2.00, 2235.00, 71.00, 15, 5,
 500, 18.00, 0.00,30, 2.00, 2255.00, 86.00, 18, 10,
 800, 19.00, 0.00,31, 3.00, 2309.00, 98.00, 17, 10,
 100, 19.00, 0.00,31, 3.00, 2249.00, 22.00, 9, 3,
 1000, 20.00, 0.00,31, 3.00, 2232.00, 189.00, 43, 20,
