n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 16.00, 2.00,24, 2.00, 1704.00, 6.00, 2, 2,
 600, 17.00, 1.00,24, 3.00, 1763.00, 1645.00, 119, 103,
 900, 17.00, 1.00,24, 3.00, 1735.00, 2442.00, 139, 122,
 200, 16.00, 2.00,23, 3.00, 1746.00, 521.00, 30, 27,
 700, 18.00, 1.00,24, 2.00, 1719.00, 1422.00, 111, 92,
 50, 17.00, 1.00,24, 3.00, 1713.00, 16.00, 4, 3,
 300, 16.00, 1.00,24, 3.00, 1722.00, 366.00, 34, 29,
 400, 17.00, 1.00,24, 3.00, 1704.00, 794.00, 52, 42,
 500, 17.00, 1.00,24, 3.00, 1727.00, 1140.00, 76, 61,
 800, 17.00, 1.00,23, 3.00, 1722.00, 1645.00, 101, 80,
 100, 17.00, 1.00,23, 3.00, 1710.00, 168.00, 17, 15,
 1000, 17.00, 1.00,24, 3.00, 1714.00, 3582.00, 166, 141,
