n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 18.00, 0.00,31, 3.00, 2230.00, 3.00, 0, 0,
 600, 18.00, 1.00,30, 3.00, 2231.00, 144.00, 32, 13,
 900, 18.00, 0.00,32, 3.00, 2277.00, 180.00, 42, 20,
 200, 18.00, 0.00,31, 3.00, 2254.00, 34.00, 10, 6,
 700, 18.00, 1.00,30, 3.00, 2217.00, 135.00, 23, 15,
 50, 18.00, 1.00,30, 3.00, 2238.00, 5.00, 0, 0,
 300, 18.00, 0.00,31, 2.00, 2246.00, 56.00, 11, 6,
 400, 19.00, 0.00,30, 3.00, 2257.00, 72.00, 15, 5,
 500, 18.00, 0.00,31, 2.00, 2245.00, 91.00, 18, 10,
 800, 18.00, 0.00,31, 2.00, 2264.00, 99.00, 17, 10,
 100, 18.00, 1.00,30, 3.00, 2247.00, 22.00, 9, 3,
 1000, 18.00, 1.00,31, 3.00, 2245.00, 193.00, 43, 20,
