moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,44.0, 1708.00, 5.00, 2, 2
 600,44.0, 1734.00, 1625.00, 119, 103
 900,44.0, 1707.00, 2399.00, 139, 122
 200,45.0, 1702.00, 511.00, 30, 27
 700,45.0, 1709.00, 1422.00, 111, 92
 50,45.0, 1718.00, 17.00, 4, 3
 300,45.0, 1712.00, 352.00, 34, 29
 400,46.0, 1722.00, 807.00, 52, 42
 500,45.0, 1703.00, 1126.00, 76, 61
 800,45.0, 1712.00, 1662.00, 101, 80
 100,45.0, 1712.00, 169.00, 17, 15
 1000,44.0, 1710.00, 3612.00, 166, 141
