moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,53.0, 2236.00, 3.00, 0, 0
 600,51.0, 2229.00, 143.00, 32, 13
 900,51.0, 2252.00, 180.00, 42, 20
 200,53.0, 2258.00, 36.00, 10, 6
 700,53.0, 2228.00, 138.00, 23, 15
 50,52.0, 2254.00, 5.00, 0, 0
 300,51.0, 2235.00, 56.00, 11, 6
 400,52.0, 2246.00, 72.00, 15, 5
 500,52.0, 2230.00, 89.00, 18, 10
 800,51.0, 2233.00, 96.00, 17, 10
 100,53.0, 2252.00, 23.00, 9, 3
 1000,51.0, 2231.00, 188.00, 43, 20
