moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,45.0, 1699.00, 7.00, 2, 2
 600,45.0, 1713.00, 1630.00, 119, 103
 900,45.0, 1799.00, 2523.00, 139, 122
 200,45.0, 1740.00, 518.00, 30, 27
 700,45.0, 1739.00, 1489.00, 111, 92
 50,45.0, 1711.00, 16.00, 4, 3
 300,44.0, 1740.00, 356.00, 34, 29
 400,44.0, 1755.00, 790.00, 52, 42
 500,44.0, 1717.00, 1132.00, 76, 61
 800,56.0, 1928.00, 1713.00, 101, 80
 100,45.0, 1735.00, 167.00, 17, 15
 1000,45.0, 1846.00, 3769.00, 166, 141
