moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,48.0, 1783.00, 12.00, 2, 2
 600,44.0, 1702.00, 1754.00, 119, 103
 900,44.0, 1717.00, 2581.00, 139, 122
 200,45.0, 1734.00, 562.00, 30, 27
 700,45.0, 1731.00, 1558.00, 111, 92
 50,46.0, 1795.00, 23.00, 4, 3
 300,45.0, 1715.00, 415.00, 34, 29
 400,45.0, 1706.00, 846.00, 52, 42
 500,45.0, 1725.00, 1285.00, 77, 61
 800,45.0, 1708.00, 1749.00, 101, 80
 100,46.0, 1758.00, 187.00, 17, 15
 1000,45.0, 1712.00, 3801.00, 167, 141
