moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,25.40,208.60,5.00,4.00,3.00,,10.00,25.40,208.00,4.00,4.00,3.00
600.00,25.80,208.80,181.20,164.00,158.00,,600.00,27.40,206.00,110.40,163.00,157.00
900.00,24.80,208.40,210.00,180.00,173.00,,900.00,20.20,205.80,108.40,178.00,173.00
200.00,21.40,206.80,52.60,39.00,39.00,,200.00,22.00,205.80,26.00,39.00,39.00
700.00,27.80,208.60,182.60,162.00,158.00,,700.00,24.00,205.60,94.00,159.00,157.00
50.00,22.80,208.60,6.40,7.00,7.00,,50.00,21.20,205.80,3.20,7.00,7.00
300.00,24.40,208.20,72.40,55.00,52.00,,300.00,26.00,205.80,35.60,54.00,52.00
400.00,23.20,211.20,93.80,76.00,70.00,,400.00,23.80,209.20,45.20,76.00,70.00
500.00,32.60,207.60,129.60,109.00,104.00,,500.00,25.60,204.80,68.60,109.00,104.00
800.00,25.20,207.20,171.00,143.00,132.00,,800.00,32.00,208.20,76.00,140.00,132.00
100.00,32.40,207.40,31.20,27.00,23.00,,100.00,25.20,204.80,20.80,27.00,23.00
1000.00,28.80,209.20,265.60,239.00,227.00,,1000.00,23.20,212.00,148.20,238.00,227.00
