n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 11.00, 1.00,8, 3.00, 208.00, 4.00, 4, 3,
 600, 21.00, 2.00,10, 3.00, 205.00, 112.00, 163, 157,
 900, 10.00, 1.00,6, 3.00, 204.00, 101.00, 178, 173,
 200, 13.00, 1.00,7, 4.00, 206.00, 26.00, 39, 39,
 700, 9.00, 1.00,7, 2.00, 205.00, 95.00, 159, 157,
 50, 9.00, 1.00,6, 3.00, 207.00, 4.00, 7, 7,
 300, 10.00, 1.00,5, 2.00, 204.00, 35.00, 54, 52,
 400, 9.00, 1.00,6, 3.00, 226.00, 46.00, 76, 70,
 500, 21.00, 2.00,11, 3.00, 206.00, 66.00, 109, 104,
 800, 9.00, 2.00,5, 3.00, 205.00, 74.00, 140, 132,
 100, 14.00, 1.00,7, 3.00, 206.00, 20.00, 27, 23,
 1000, 13.00, 2.00,8, 3.00, 208.00, 146.00, 238, 227,
