moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,45.0, 1726.00, 8.00, 2, 2
 600,46.0, 1753.00, 1749.00, 119, 103
 900,43.0, 1724.00, 2557.00, 139, 122
 200,44.0, 1717.00, 545.00, 30, 27
 700,46.0, 1723.00, 1568.00, 111, 92
 50,44.0, 1730.00, 23.00, 4, 3
 300,47.0, 1738.00, 415.00, 34, 29
 400,45.0, 1723.00, 858.00, 52, 42
 500,44.0, 1709.00, 1300.00, 77, 61
 800,44.0, 1714.00, 1774.00, 101, 80
 100,45.0, 1724.00, 184.00, 17, 15
 1000,44.0, 1714.00, 3795.00, 167, 141
