moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,45.20,1752.00,8.80,2.00,2.00,,10.00,44.60,1716.80,6.00,2.00,2.00
600.00,44.20,1718.40,1741.60,119.00,103.00,,600.00,44.60,1725.60,1642.40,119.00,103.00
900.00,44.00,1717.20,2582.20,139.00,122.00,,900.00,44.60,1732.60,2444.00,139.00,122.00
200.00,44.20,1725.80,557.20,30.00,27.00,,200.00,44.60,1729.80,515.00,30.00,27.00
700.00,44.40,1730.00,1585.40,111.00,92.00,,700.00,45.60,1715.20,1441.20,111.00,92.00
50.00,44.80,1746.80,23.00,4.00,3.00,,50.00,45.20,1716.20,16.40,4.00,3.00
300.00,45.00,1729.60,416.40,34.00,29.00,,300.00,44.80,1717.20,357.60,34.00,29.00
400.00,46.20,1746.00,848.80,52.00,42.00,,400.00,45.20,1722.60,785.20,52.00,42.00
500.00,44.80,1715.80,1286.40,77.00,61.00,,500.00,44.80,1718.00,1131.00,76.00,61.00
800.00,45.00,1759.00,1770.20,101.00,80.00,,800.00,47.00,1757.60,1657.60,101.00,80.00
100.00,45.60,1754.20,187.80,17.00,15.00,,100.00,45.00,1720.60,168.80,17.00,15.00
1000.00,45.00,1724.40,3825.40,167.00,141.00,,1000.00,44.40,1735.80,3642.80,166.00,141.00
