n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 19.00, 0.00,30, 2.00, 2259.00, 3.00, 0, 0,
 600, 18.00, 0.00,31, 3.00, 2460.00, 160.00, 32, 13,
 900, 18.00, 0.00,31, 3.00, 2314.00, 180.00, 42, 20,
 200, 18.00, 1.00,30, 3.00, 2229.00, 35.00, 10, 6,
 700, 18.00, 1.00,31, 3.00, 2256.00, 139.00, 23, 15,
 50, 18.00, 0.00,31, 2.00, 2236.00, 5.00, 0, 0,
 300, 18.00, 1.00,30, 3.00, 2263.00, 56.00, 11, 6,
 400, 19.00, 0.00,31, 2.00, 2286.00, 72.00, 15, 5,
 500, 19.00, 0.00,30, 3.00, 2254.00, 88.00, 18, 10,
 800, 19.00, 1.00,30, 3.00, 2299.00, 96.00, 17, 10,
 100, 18.00, 0.00,31, 3.00, 2231.00, 22.00, 9, 3,
 1000, 18.00, 1.00,30, 3.00, 2266.00, 192.00, 43, 20,
