moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,44.0, 1714.00, 8.00, 2, 2
 600,44.0, 1706.00, 1724.00, 119, 103
 900,44.0, 1719.00, 2588.00, 139, 122
 200,45.0, 1722.00, 559.00, 30, 27
 700,44.0, 1706.00, 1558.00, 111, 92
 50,44.0, 1751.00, 23.00, 4, 3
 300,44.0, 1723.00, 410.00, 34, 29
 400,52.0, 1709.00, 845.00, 52, 42
 500,46.0, 1705.00, 1281.00, 77, 61
 800,44.0, 1716.00, 1805.00, 101, 80
 100,44.0, 1762.00, 193.00, 17, 15
 1000,47.0, 1785.00, 3935.00, 167, 141
