moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,44.0, 1796.00, 8.00, 2, 2
 600,44.0, 1711.00, 1746.00, 119, 103
 900,44.0, 1704.00, 2629.00, 139, 122
 200,44.0, 1755.00, 576.00, 30, 27
 700,44.0, 1776.00, 1666.00, 111, 92
 50,44.0, 1753.00, 23.00, 4, 3
 300,45.0, 1772.00, 429.00, 34, 29
 400,45.0, 1852.00, 843.00, 52, 42
 500,44.0, 1706.00, 1276.00, 77, 61
 800,48.0, 1958.00, 1780.00, 101, 80
 100,46.0, 1822.00, 190.00, 17, 15
 1000,45.0, 1714.00, 3787.00, 167, 141
