n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 6.00, 2.00,2, 3.00, 105.00, 3.00, 3, 2,
 600, 10.00, 1.00,2, 4.00, 105.00, 186.00, 178, 139,
 900, 5.00, 2.00,1, 3.00, 103.00, 234.00, 191, 161,
 200, 8.00, 2.00,2, 3.00, 103.00, 52.00, 49, 40,
 700, 5.00, 1.00,2, 3.00, 101.00, 207.00, 179, 139,
 50, 12.00, 1.00,2, 3.00, 104.00, 10.00, 8, 5,
 300, 13.00, 3.00,4, 6.00, 102.00, 86.00, 66, 55,
 400, 7.00, 1.00,3, 3.00, 102.00, 103.00, 105, 82,
 500, 10.00, 1.00,2, 2.00, 102.00, 138.00, 133, 104,
 800, 13.00, 3.00,4, 7.00, 101.00, 203.00, 157, 122,
 100, 5.00, 2.00,1, 3.00, 105.00, 30.00, 26, 21,
 1000, 5.00, 2.00,1, 3.00, 101.00, 255.00, 250, 209,
