moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,45.0, 1741.00, 8.00, 2, 2
 600,43.0, 1720.00, 1735.00, 119, 103
 900,45.0, 1722.00, 2556.00, 139, 122
 200,43.0, 1701.00, 544.00, 30, 27
 700,43.0, 1714.00, 1577.00, 111, 92
 50,46.0, 1705.00, 23.00, 4, 3
 300,44.0, 1700.00, 413.00, 34, 29
 400,44.0, 1740.00, 852.00, 52, 42
 500,45.0, 1734.00, 1290.00, 77, 61
 800,44.0, 1699.00, 1743.00, 101, 80
 100,47.0, 1705.00, 185.00, 17, 15
 1000,44.0, 1697.00, 3809.00, 167, 141
