n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 6.00, 1.00,2, 3.00, 102.00, 4.00, 3, 2,
 600, 7.00, 1.00,3, 3.00, 103.00, 184.00, 178, 139,
 900, 9.00, 2.00,2, 3.00, 104.00, 235.00, 191, 161,
 200, 8.00, 1.00,2, 3.00, 102.00, 52.00, 49, 40,
 700, 11.00, 1.00,2, 2.00, 103.00, 204.00, 179, 139,
 50, 7.00, 2.00,2, 3.00, 103.00, 10.00, 8, 5,
 300, 13.00, 3.00,4, 6.00, 107.00, 82.00, 66, 55,
 400, 12.00, 1.00,3, 3.00, 106.00, 103.00, 105, 82,
 500, 12.00, 1.00,2, 3.00, 104.00, 139.00, 133, 104,
 800, 13.00, 3.00,4, 6.00, 102.00, 204.00, 157, 122,
 100, 5.00, 1.00,2, 3.00, 102.00, 28.00, 26, 21,
 1000, 13.00, 1.00,2, 2.00, 102.00, 254.00, 250, 209,
