n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 19.00, 0.00,34, 3.00, 2246.00, 0.00, 0, 0,
 600, 18.00, 0.00,30, 3.00, 2228.00, 37.00, 31, 13,
 900, 18.00, 1.00,31, 3.00, 2268.00, 66.00, 39, 20,
 200, 18.00, 0.00,31, 3.00, 2256.00, 7.00, 10, 6,
 700, 18.00, 0.00,30, 2.00, 2215.00, 22.00, 22, 15,
 50, 18.00, 0.00,31, 3.00, 2253.00, 0.00, 0, 0,
 300, 18.00, 1.00,30, 3.00, 2233.00, 9.00, 11, 6,
 400, 19.00, 0.00,31, 3.00, 2287.00, 13.00, 15, 5,
 500, 18.00, 0.00,31, 3.00, 2232.00, 10.00, 18, 10,
 800, 18.00, 0.00,33, 6.00, 2274.00, 13.00, 17, 10,
 100, 18.00, 1.00,32, 3.00, 2286.00, 8.00, 9, 3,
 1000, 18.00, 1.00,30, 2.00, 2231.00, 36.00, 43, 20,
