n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 19.00, 1.00,6, 3.00, 207.00, 5.00, 4, 3,
 600, 23.00, 2.00,7, 4.00, 212.00, 180.00, 164, 158,
 900, 15.00, 1.00,6, 3.00, 208.00, 209.00, 180, 173,
 200, 9.00, 1.00,6, 3.00, 206.00, 53.00, 39, 39,
 700, 10.00, 1.00,5, 3.00, 215.00, 181.00, 162, 158,
 50, 10.00, 1.00,6, 3.00, 207.00, 6.00, 7, 7,
 300, 11.00, 1.00,7, 3.00, 206.00, 72.00, 55, 52,
 400, 13.00, 1.00,8, 4.00, 212.00, 93.00, 76, 70,
 500, 21.00, 3.00,6, 3.00, 209.00, 127.00, 109, 104,
 800, 21.00, 3.00,9, 2.00, 208.00, 169.00, 143, 132,
 100, 12.00, 2.00,7, 4.00, 209.00, 31.00, 27, 23,
 1000, 21.00, 1.00,6, 3.00, 207.00, 265.00, 239, 227,
