n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 10.00, 1.00,7, 3.00, 207.00, 4.00, 4, 3,
 600, 12.00, 1.00,8, 2.00, 205.00, 111.00, 163, 157,
 900, 11.00, 2.00,7, 3.00, 206.00, 105.00, 178, 173,
 200, 13.00, 1.00,6, 3.00, 207.00, 26.00, 39, 39,
 700, 19.00, 1.00,6, 2.00, 206.00, 94.00, 159, 157,
 50, 9.00, 1.00,6, 3.00, 203.00, 3.00, 7, 7,
 300, 22.00, 3.00,9, 2.00, 205.00, 35.00, 54, 52,
 400, 9.00, 1.00,6, 3.00, 205.00, 44.00, 76, 70,
 500, 12.00, 1.00,8, 4.00, 205.00, 65.00, 109, 104,
 800, 21.00, 2.00,14, 7.00, 210.00, 74.00, 140, 132,
 100, 9.00, 1.00,6, 3.00, 205.00, 21.00, 27, 23,
 1000, 17.00, 1.00,7, 3.00, 238.00, 147.00, 238, 227,
