moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,19.0, 101.00, 1.00, 3, 2
 600,13.0, 106.00, 74.00, 178, 139
 900,13.0, 102.00, 59.00, 191, 161
 200,26.0, 102.00, 16.00, 49, 40
 700,15.0, 105.00, 64.00, 179, 139
 50,15.0, 102.00, 3.00, 8, 5
 300,26.0, 103.00, 20.00, 66, 55
 400,19.0, 103.00, 31.00, 105, 82
 500,27.0, 103.00, 35.00, 133, 104
 800,22.0, 106.00, 49.00, 157, 122
 100,13.0, 104.00, 8.00, 26, 21
 1000,12.0, 102.00, 78.00, 250, 209
