moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,44.0, 1756.00, 6.00, 2, 2
 600,44.0, 1709.00, 1675.00, 119, 103
 900,44.0, 1709.00, 2425.00, 139, 122
 200,44.0, 1752.00, 513.00, 30, 27
 700,49.0, 1710.00, 1452.00, 111, 92
 50,45.0, 1737.00, 17.00, 4, 3
 300,48.0, 1710.00, 361.00, 34, 29
 400,45.0, 1721.00, 769.00, 52, 42
 500,45.0, 1742.00, 1127.00, 76, 61
 800,45.0, 1723.00, 1619.00, 101, 80
 100,46.0, 1727.00, 170.00, 17, 15
 1000,44.0, 1705.00, 3615.00, 166, 141
