n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 18.00, 0.00,30, 3.00, 2226.00, 1.00, 0, 0,
 600, 19.00, 1.00,31, 3.00, 2227.00, 37.00, 31, 13,
 900, 19.00, 0.00,30, 3.00, 2236.00, 64.00, 39, 20,
 200, 18.00, 1.00,30, 3.00, 2223.00, 7.00, 10, 6,
 700, 18.00, 1.00,30, 3.00, 2231.00, 22.00, 22, 15,
 50, 18.00, 0.00,31, 2.00, 2223.00, 0.00, 0, 0,
 300, 18.00, 0.00,30, 3.00, 2222.00, 9.00, 11, 6,
 400, 19.00, 0.00,30, 3.00, 2258.00, 13.00, 15, 5,
 500, 18.00, 1.00,30, 3.00, 2226.00, 9.00, 18, 10,
 800, 18.00, 0.00,31, 3.00, 2224.00, 13.00, 17, 10,
 100, 18.00, 0.00,30, 2.00, 2261.00, 7.00, 9, 3,
 1000, 17.00, 1.00,30, 3.00, 2242.00, 35.00, 43, 20,
