n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 13.00, 3.00,4, 3.00, 101.00, 3.00, 3, 2,
 600, 5.00, 1.00,2, 3.00, 103.00, 185.00, 178, 139,
 900, 11.00, 1.00,2, 4.00, 106.00, 246.00, 191, 161,
 200, 6.00, 1.00,2, 3.00, 102.00, 52.00, 49, 40,
 700, 13.00, 3.00,4, 7.00, 107.00, 204.00, 179, 139,
 50, 6.00, 2.00,2, 2.00, 104.00, 10.00, 8, 5,
 300, 6.00, 1.00,2, 2.00, 103.00, 81.00, 66, 55,
 400, 13.00, 3.00,4, 6.00, 102.00, 102.00, 105, 82,
 500, 6.00, 1.00,2, 2.00, 102.00, 139.00, 133, 104,
 800, 14.00, 2.00,5, 6.00, 103.00, 202.00, 157, 122,
 100, 6.00, 1.00,2, 3.00, 104.00, 29.00, 26, 21,
 1000, 17.00, 3.00,4, 7.00, 107.00, 258.00, 250, 209,
