n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 4639.00,0.00, 0,
 600, 4576.00,15.00, 5,
 900, 4655.00,23.00, 1,
 200, 4590.00,5.00, 0,
 700, 4590.00,19.00, 1,
 50, 4573.00,2.00, 0,
 300, 4574.00,9.00, 0,
 400, 4568.00,10.00, 1,
 500, 4574.00,12.00, 2,
 800, 4606.00,22.00, 4,
 100, 4619.00,3.00, 2,
 1000, 4575.00,27.00, 9,
