n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 7828.00, 0.00, 1, 0,
 20, 19520.00, 0.00, 3, 2,
 30, 85901.00, 2.00, 29, 7,
 50, 121146.00, 3.00, 27, 11,
 40, 105531.00, 2.00, 15, 8,
 60, 187414.00, 9.00, 43, 13,
