n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 4656.00, 0.00, 2, 0,
 20, 7720.00, 0.00, 3, 2,
 30, 38565.00, 6.00, 34, 16,
 50, 67770.00, 21.00, 52, 21,
 40, 52423.00, 13.00, 26, 15,
 60, 81340.00, 9.00, 68, 34,
 70, 98660.00, 42.00, 100, 38,
 90, 129382.00, 37.00, 145, 65,
 80, 116874.00, 27.00, 119, 57,
 100, 142709.00, 57.00, 237, 111,
