n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 293.00, 0.00, 2, 0,
 20, 929.00, 1.00, 10, 2,
 30, 2256.00, 2.00, 42, 23,
 50, 4250.00, 2.00, 66, 35,
 40, 3500.00, 2.00, 42, 19,
 60, 5458.00, 4.00, 121, 49,
 70, 6273.00, 5.00, 144, 61,
 90, 8091.00, 8.00, 261, 84,
 80, 7224.00, 6.00, 167, 85,
 100, 8916.00, 16.00, 335, 161,
