n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 6455.00, 0.00, 2, 0,
 20, 8533.00, 0.00, 2, 2,
 30, 40855.00, 1.00, 21, 5,
 50, 55175.00, 17.00, 18, 5,
 40, 45199.00, 1.00, 11, 5,
 60, 76780.00, 4.00, 29, 4,
 70, 108732.00, 5.00, 42, 12,
 90, 134375.00, 8.00, 61, 11,
 80, 122275.00, 3.00, 57, 7,
 100, 163893.00, 19.00, 106, 20,
