n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 4685.00, 0.00, 2, 0,
 20, 7734.00, 1.00, 3, 2,
 30, 38545.00, 6.00, 34, 16,
 50, 67792.00, 21.00, 52, 21,
 40, 52399.00, 13.00, 26, 15,
 60, 81697.00, 10.00, 68, 34,
 70, 98502.00, 43.00, 100, 38,
 90, 129539.00, 36.00, 145, 65,
 80, 117110.00, 27.00, 119, 57,
 100, 143315.00, 57.00, 237, 111,
