n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 1124.00, 0.00, 2, 2,
 20, 2963.00, 0.00, 5, 2,
 30, 9204.00, 2.00, 37, 27,
 50, 14640.00, 4.00, 44, 32,
 40, 12109.00, 3.00, 26, 18,
 60, 20198.00, 4.00, 70, 51,
 70, 23102.00, 6.00, 90, 60,
 90, 30823.00, 11.00, 144, 101,
 80, 28637.00, 9.00, 123, 83,
 100, 34144.00, 16.00, 220, 161,
