n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 6364.00, 0.00, 2, 0,
 20, 8474.00, 0.00, 2, 2,
 30, 40191.00, 1.00, 21, 5,
 50, 55014.00, 17.00, 18, 5,
 40, 44443.00, 1.00, 11, 5,
 60, 76077.00, 4.00, 29, 4,
 70, 107832.00, 4.00, 42, 12,
 90, 133325.00, 7.00, 61, 11,
 80, 120441.00, 2.00, 57, 7,
 100, 163335.00, 18.00, 106, 20,
