n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 3775.00, 0.00, 2, 0,
 20, 6274.00, 0.00, 3, 1,
 30, 27578.00, 2.00, 25, 7,
 50, 40070.00, 3.00, 26, 12,
 40, 36338.00, 2.00, 17, 9,
 60, 65105.00, 3.00, 52, 22,
 70, 71433.00, 5.00, 63, 22,
 90, 96616.00, 10.00, 102, 38,
 80, 89066.00, 6.00, 83, 28,
 100, 110291.00, 14.00, 168, 62,
