n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 283.00, 0.00, 2, 0,
 20, 937.00, 1.00, 10, 2,
 30, 2230.00, 2.00, 42, 23,
 50, 4254.00, 2.00, 66, 35,
 40, 3556.00, 3.00, 42, 19,
 60, 5484.00, 4.00, 121, 49,
 70, 6269.00, 5.00, 144, 61,
 90, 8083.00, 8.00, 261, 84,
 80, 7186.00, 6.00, 167, 85,
 100, 8929.00, 13.00, 335, 161,
