n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 1129.00, 0.00, 2, 2,
 20, 2963.00, 0.00, 5, 2,
 30, 9198.00, 3.00, 37, 27,
 50, 14714.00, 4.00, 44, 32,
 40, 12090.00, 2.00, 26, 18,
 60, 20242.00, 4.00, 70, 51,
 70, 23121.00, 6.00, 90, 60,
 90, 30882.00, 11.00, 144, 101,
 80, 28671.00, 10.00, 123, 83,
 100, 34144.00, 17.00, 220, 161,
