n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 6385.00, 0.00, 2, 0,
 20, 8521.00, 0.00, 2, 2,
 30, 40555.00, 1.00, 21, 5,
 50, 55068.00, 17.00, 18, 5,
 40, 44202.00, 1.00, 11, 5,
 60, 76214.00, 3.00, 29, 4,
 70, 107958.00, 5.00, 42, 12,
 90, 133411.00, 8.00, 61, 11,
 80, 120607.00, 2.00, 57, 7,
 100, 163061.00, 19.00, 106, 20,
