n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 283.00, 0.00, 2, 0,
 20, 944.00, 0.00, 10, 2,
 30, 2239.00, 2.00, 42, 23,
 50, 4223.00, 3.00, 66, 35,
 40, 3537.00, 1.00, 42, 19,
 60, 5441.00, 4.00, 121, 49,
 70, 6284.00, 6.00, 144, 61,
 90, 8136.00, 8.00, 261, 84,
 80, 7204.00, 7.00, 167, 85,
 100, 8914.00, 14.00, 335, 161,
