n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 3796.00, 0.00, 2, 0,
 20, 6311.00, 1.00, 3, 1,
 30, 27905.00, 2.00, 25, 7,
 50, 40119.00, 3.00, 26, 12,
 40, 36397.00, 2.00, 17, 9,
 60, 65137.00, 4.00, 52, 22,
 70, 71479.00, 5.00, 63, 22,
 90, 96597.00, 10.00, 102, 38,
 80, 89104.00, 6.00, 83, 28,
 100, 110475.00, 15.00, 168, 62,
