n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 1117.00, 0.00, 2, 2,
 20, 2955.00, 1.00, 5, 2,
 30, 9209.00, 3.00, 37, 27,
 50, 14717.00, 4.00, 44, 32,
 40, 12110.00, 2.00, 26, 18,
 60, 20210.00, 5.00, 70, 51,
 70, 23152.00, 6.00, 90, 60,
 90, 30861.00, 12.00, 144, 101,
 80, 28643.00, 9.00, 123, 83,
 100, 34184.00, 17.00, 220, 161,
