n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 282.00, 0.00, 2, 0,
 20, 932.00, 1.00, 10, 2,
 30, 2210.00, 2.00, 42, 23,
 50, 4210.00, 3.00, 66, 35,
 40, 3492.00, 2.00, 42, 19,
 60, 5408.00, 4.00, 121, 49,
 70, 6227.00, 5.00, 144, 61,
 90, 8080.00, 9.00, 261, 84,
 80, 7120.00, 7.00, 167, 85,
 100, 8919.00, 14.00, 335, 161,
