n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 3778.00, 0.00, 2, 0,
 20, 6284.00, 0.00, 3, 1,
 30, 27592.00, 1.00, 25, 7,
 50, 40084.00, 3.00, 26, 12,
 40, 36336.00, 2.00, 17, 9,
 60, 65204.00, 5.00, 52, 22,
 70, 71442.00, 5.00, 63, 22,
 90, 96627.00, 10.00, 102, 38,
 80, 88960.00, 6.00, 83, 28,
 100, 110341.00, 14.00, 168, 62,
