n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 7884.00, 0.00, 1, 0,
 30, 86559.00, 1.00, 29, 7,
 50, 122163.00, 3.00, 27, 11,
 20, 19647.00, 0.00, 3, 2,
 40, 105756.00, 3.00, 15, 8,
