n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 284.00, 0.00, 2, 0,
 20, 944.00, 0.00, 10, 2,
 30, 2233.00, 2.00, 42, 23,
 50, 4254.00, 3.00, 66, 35,
 40, 3526.00, 1.00, 42, 19,
 60, 5447.00, 4.00, 121, 49,
 70, 6302.00, 5.00, 144, 61,
 90, 8091.00, 8.00, 261, 84,
 80, 7197.00, 7.00, 167, 85,
 100, 8951.00, 13.00, 335, 161,
