n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 4660.00, 0.00, 2, 0,
 20, 7692.00, 1.00, 3, 2,
 30, 38543.00, 7.00, 34, 16,
 50, 67842.00, 21.00, 52, 21,
 40, 52079.00, 12.00, 26, 15,
 60, 81889.00, 9.00, 68, 34,
 70, 98635.00, 42.00, 100, 38,
 90, 129422.00, 36.00, 145, 65,
 80, 117052.00, 27.00, 119, 57,
 100, 143219.00, 58.00, 237, 111,
