n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 7893.00, 0.00, 1, 0,
 30, 86908.00, 1.00, 29, 7,
 50, 122519.00, 3.00, 27, 11,
 20, 19714.00, 0.00, 3, 2,
 40, 106501.00, 2.00, 15, 8,
