n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 6345.00, 0.00, 2, 0,
 20, 8522.00, 0.00, 2, 2,
 30, 40355.00, 1.00, 21, 5,
 50, 55352.00, 18.00, 18, 5,
 40, 44811.00, 1.00, 11, 5,
 60, 76868.00, 3.00, 29, 4,
 70, 108314.00, 5.00, 42, 12,
 90, 133713.00, 8.00, 61, 11,
 80, 120807.00, 3.00, 57, 7,
 100, 162931.00, 19.00, 106, 20,
