n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 7851.00, 0.00, 1, 0,
 20, 19710.00, 1.00, 3, 2,
 30, 88121.00, 1.00, 29, 7,
 50, 123125.00, 3.00, 27, 11,
 40, 106420.00, 2.00, 15, 8,
 60, 192210.00, 10.00, 43, 13,
