n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 3779.00, 0.00, 2, 0,
 20, 6283.00, 1.00, 3, 1,
 30, 27577.00, 2.00, 25, 7,
 50, 40175.00, 2.00, 26, 12,
 40, 36418.00, 2.00, 17, 9,
 60, 65341.00, 4.00, 52, 22,
 70, 71672.00, 5.00, 63, 22,
 90, 96672.00, 10.00, 102, 38,
 80, 89149.00, 6.00, 83, 28,
 100, 110513.00, 14.00, 168, 62,
