moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,8.0, 194.00, 0.00, 0, 0
 600,7.0, 192.00, 178.00, 12, 12
 900,7.0, 190.00, 81.00, 8, 8
 200,6.0, 190.00, 3.00, 1, 1
 700,6.0, 189.00, 277.00, 10, 5
 50,7.0, 192.00, 1.00, 0, 0
 300,12.0, 194.00, 1.00, 0, 0
 400,7.0, 192.00, 66.00, 5, 4
 500,6.0, 191.00, 24.00, 7, 5
 800,7.0, 193.00, 146.00, 13, 10
 100,7.0, 209.00, 4.00, 3, 3
 1000,8.0, 190.00, 324.00, 16, 14
