n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 16.00, 0.00,19, 0.00, 862.00, 0.00, 0, 0,
 600, 16.00, 1.00,19, 0.00, 866.00, 708.00, 6, 4,
 900, 17.00, 0.00,20, 0.00, 862.00, 391.00, 4, 3,
 200, 17.00, 1.00,19, 0.00, 857.00, 427.00, 1, 1,
 700, 17.00, 0.00,20, 0.00, 862.00, 700.00, 4, 3,
 50, 17.00, 0.00,19, 0.00, 863.00, 0.00, 0, 0,
 300, 17.00, 0.00,19, 1.00, 862.00, 1.00, 0, 0,
 400, 16.00, 1.00,18, 1.00, 859.00, 44.00, 2, 2,
 500, 17.00, 0.00,19, 1.00, 861.00, 824.00, 5, 5,
 800, 17.00, 0.00,19, 1.00, 859.00, 862.00, 4, 4,
 100, 17.00, 0.00,19, 0.00, 856.00, 173.00, 2, 2,
 1000, 17.00, 0.00,19, 0.00, 863.00, 1629.00, 9, 8,
