n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 5.00, 0.00,3, 0.00, 190.00, 0.00, 0, 0,
 600, 3.00, 1.00,2, 1.00, 190.00, 179.00, 12, 12,
 900, 4.00, 0.00,3, 0.00, 192.00, 80.00, 8, 8,
 200, 4.00, 0.00,3, 0.00, 196.00, 4.00, 1, 1,
 700, 3.00, 0.00,3, 0.00, 190.00, 303.00, 10, 5,
 50, 4.00, 0.00,3, 0.00, 192.00, 1.00, 0, 0,
 300, 4.00, 0.00,3, 0.00, 190.00, 2.00, 0, 0,
 400, 6.00, 0.00,6, 0.00, 189.00, 66.00, 5, 4,
 500, 3.00, 0.00,3, 0.00, 192.00, 24.00, 7, 5,
 800, 4.00, 0.00,2, 1.00, 191.00, 143.00, 13, 10,
 100, 4.00, 0.00,3, 0.00, 191.00, 3.00, 3, 3,
 1000, 6.00, 0.00,3, 0.00, 196.00, 332.00, 16, 14,
