moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,11.60,502.00,0.00,0.00,0.00,,10.00,11.60,503.20,0.00,0.00,0.00
600.00,11.20,493.00,6.20,6.00,4.00,,600.00,11.60,494.40,3.00,6.00,4.00
900.00,11.60,495.80,9.20,4.00,4.00,,900.00,11.40,493.80,5.80,4.00,4.00
200.00,12.00,497.80,1.80,0.00,0.00,,200.00,11.20,490.40,0.00,0.00,0.00
700.00,11.40,497.60,24.40,6.00,2.00,,700.00,11.80,495.80,21.00,6.00,2.00
50.00,11.60,495.40,0.00,0.00,0.00,,50.00,12.00,498.60,0.00,0.00,0.00
300.00,11.40,495.00,1.00,1.00,1.00,,300.00,14.00,493.40,0.00,1.00,1.00
400.00,11.60,493.20,5.20,1.00,0.00,,400.00,11.80,492.00,1.40,1.00,0.00
500.00,12.60,495.60,5.20,2.00,2.00,,500.00,11.80,495.40,0.80,2.00,2.00
800.00,11.20,489.60,8.20,5.00,4.00,,800.00,11.40,491.60,4.00,5.00,4.00
100.00,12.00,492.40,2.00,2.00,1.00,,100.00,11.20,499.80,0.80,2.00,1.00
1000.00,11.40,492.80,9.20,10.00,6.00,,1000.00,12.20,497.40,2.80,10.00,6.00
